# idx i_data_dec i_gain_dec expected_o_data_dec i_data_hex i_gain_hex expected_hex
00  -32768   0  -32768 0x8000 0x00 0x8000
01  -30000   0  -30000 0x8AD0 0x00 0x8AD0
02  -16384   0  -16384 0xC000 0x00 0xC000
03      -1   0      -1 0xFFFF 0x00 0xFFFF
04       0   0       0 0x0000 0x00 0x0000
05       1   0       1 0x0001 0x00 0x0001
06   16384   0   16384 0x4000 0x00 0x4000
07   30000   0   30000 0x7530 0x00 0x7530
08   32767   0   32767 0x7FFF 0x00 0x7FFF
09  -32768   1  -32768 0x8000 0x01 0x8000
10  -30000   1  -30000 0x8AD0 0x01 0x8AD0
11  -16384   1  -16384 0xC000 0x01 0xC000
12      -1   1      -1 0xFFFF 0x01 0xFFFF
13       0   1       0 0x0000 0x01 0x0000
14       1   1       1 0x0001 0x01 0x0001
15   16384   1   16384 0x4000 0x01 0x4000
16   30000   1   30000 0x7530 0x01 0x7530
17   32767   1   32767 0x7FFF 0x01 0x7FFF
18  -32768   4  -32768 0x8000 0x04 0x8000
19  -30000   4  -30000 0x8AD0 0x04 0x8AD0
20  -16384   4  -16384 0xC000 0x04 0xC000
21      -1   4      -1 0xFFFF 0x04 0xFFFF
22       0   4       0 0x0000 0x04 0x0000
23       1   4       1 0x0001 0x04 0x0001
24   16384   4   16384 0x4000 0x04 0x4000
25   30000   4   30000 0x7530 0x04 0x7530
26   32767   4   32767 0x7FFF 0x04 0x7FFF
27  -32768   5  -32768 0x8000 0x05 0x8000
28  -16384   5  -16409 0xC000 0x05 0xBFE7
29   -1024   5   -1026 0xFC00 0x05 0xFBFE
30       0   5       0 0x0000 0x05 0x0000
31    1024   5    1026 0x0400 0x05 0x0402
32   32767   5   32767 0x7FFF 0x05 0x7FFF
33  -32768   8  -32768 0x8000 0x08 0x8000
34  -16384   8  -16448 0xC000 0x08 0xBFC0
35   -1024   8   -1029 0xFC00 0x08 0xFBFB
36       0   8       0 0x0000 0x08 0x0000
37    1024   8    1029 0x0400 0x08 0x0405
38   32767   8   32767 0x7FFF 0x08 0x7FFF
39  -32768  16  -32768 0x8000 0x10 0x8000
40  -16384  16  -16637 0xC000 0x10 0xBF03
41   -1024  16   -1045 0xFC00 0x10 0xFBEB
42       0  16       0 0x0000 0x10 0x0000
43    1024  16    1045 0x0400 0x10 0x0415
44   32767  16   32767 0x7FFF 0x10 0x7FFF
45  -32768  32  -32768 0x8000 0x20 0x8000
46  -16384  32  -17367 0xC000 0x20 0xBC29
47   -1024  32   -1108 0xFC00 0x20 0xFBAC
48       0  32       0 0x0000 0x20 0x0000
49    1024  32    1108 0x0400 0x20 0x0454
50   32767  32   32767 0x7FFF 0x20 0x7FFF
51  -32768  64  -32768 0x8000 0x40 0x8000
52  -16384  64  -19883 0xC000 0x40 0xB255
53   -1024  64   -1344 0xFC00 0x40 0xFAC0
54       0  64       0 0x0000 0x40 0x0000
55    1024  64    1344 0x0400 0x40 0x0540
56   32767  64   32767 0x7FFF 0x40 0x7FFF
57  -32768 128  -32768 0x8000 0x80 0x8000
58  -16384 128  -25887 0xC000 0x80 0x9AE1
59   -1024 128   -2122 0xFC00 0x80 0xF7B6
60       0 128       0 0x0000 0x80 0x0000
61    1024 128    2122 0x0400 0x80 0x084A
62   32767 128   32767 0x7FFF 0x80 0x7FFF
63  -32768 192  -32768 0x8000 0xC0 0x8000
64  -16384 192  -29807 0xC000 0xC0 0x8B91
65   -1024 192   -3078 0xFC00 0xC0 0xF3FA
66       0 192       0 0x0000 0xC0 0x0000
67    1024 192    3078 0x0400 0xC0 0x0C06
68   32767 192   32767 0x7FFF 0xC0 0x7FFF
69  -32768 255  -32768 0x8000 0xFF 0x8000
70  -16384 255  -31593 0xC000 0xFF 0x8497
71   -1024 255   -4062 0xFC00 0xFF 0xF022
72       0 255       0 0x0000 0xFF 0x0000
73    1024 255    4062 0x0400 0xFF 0x0FDE
74   32767 255   32767 0x7FFF 0xFF 0x7FFF
